Date,Price,Open,High,Low,Vol.,Change %
4/6/2023,0.0996,0.1002,0.1045,0.0991,34.23M,0.61%
4/5/2023,0.099,0.0993,0.1004,0.0988,18.41M,-1.98%
4/4/2023,0.101,0.1011,0.1042,0.0965,51.00M,1.30%
4/3/2023,0.0997,0.1021,0.105,0.0975,54.54M,-1.97%
3/31/2023,0.1017,0.1005,0.1037,0.1,25.23M,1.19%
3/30/2023,0.1005,0.0994,0.1009,0.0981,21.24M,2.55%
3/29/2023,0.098,0.0977,0.1007,0.0968,25.48M,-0.20%
3/28/2023,0.0982,0.0994,0.0994,0.094,11.20M,-0.71%
3/27/2023,0.0989,0.0933,0.0989,0.0931,57.74M,6.34%
3/24/2023,0.093,0.0952,0.102,0.092,108.67M,-1.80%
3/23/2023,0.0947,0.0924,0.0954,0.0921,20.12M,3.05%
3/22/2023,0.0919,0.0918,0.0927,0.091,22.37M,0.66%
3/21/2023,0.0913,0.0917,0.0923,0.0899,20.93M,0.55%
3/20/2023,0.0908,0.0871,0.0929,0.0869,43.12M,3.65%
3/17/2023,0.0876,0.0882,0.0894,0.0866,16.84M,0.34%
3/16/2023,0.0873,0.0889,0.0889,0.087,15.36M,-1.91%
3/15/2023,0.089,0.0894,0.09,0.089,8.59M,-1.00%
3/14/2023,0.0899,0.088,0.09,0.088,6.99M,2.16%
3/13/2023,0.088,0.0899,0.0909,0.0861,18.86M,-1.57%
3/10/2023,0.0894,0.0851,0.0907,0.0851,59.65M,3.23%
3/9/2023,0.0866,0.0869,0.0885,0.0862,9.40M,-0.46%
3/7/2023,0.087,0.0854,0.0874,0.0851,24.12M,1.52%
3/6/2023,0.0857,0.0832,0.0859,0.0832,10.30M,3.25%
3/3/2023,0.083,0.0825,0.0846,0.0821,20.74M,0.24%
3/2/2023,0.0828,0.084,0.0864,0.0822,31.76M,-1.78%
3/1/2023,0.0843,0.0836,0.0875,0.0831,26.85M,0.96%
2/28/2023,0.0835,0.0843,0.085,0.083,11.97M,-0.95%
2/27/2023,0.0843,0.0852,0.0853,0.0827,25.62M,-1.06%
2/24/2023,0.0852,0.0898,0.0898,0.0839,73.09M,-4.91%
2/22/2023,0.0896,0.0852,0.093,0.0821,60.53M,6.04%
2/21/2023,0.0845,0.0825,0.086,0.0809,15.51M,4.45%
2/20/2023,0.0809,0.0825,0.0825,0.0806,13.83M,-0.98%
2/17/2023,0.0817,0.081,0.083,0.081,26.99M,-0.24%
2/16/2023,0.0819,0.0816,0.0861,0.081,33.48M,0.86%
2/15/2023,0.0812,0.0835,0.088,0.081,48.03M,-2.87%
2/14/2023,0.0836,0.0893,0.0893,0.082,51.90M,-4.13%
2/13/2023,0.0872,0.088,0.0907,0.0852,77.69M,-5.22%
2/10/2023,0.092,0.0878,0.1028,0.0864,504.24M,4.66%
2/9/2023,0.0879,0.0877,0.0925,0.0844,94.15M,2.21%
2/8/2023,0.086,0.0847,0.087,0.0845,28.61M,2.63%
2/7/2023,0.0838,0.0846,0.0855,0.0825,19.91M,0.60%
2/6/2023,0.0833,0.0819,0.0875,0.0801,57.74M,2.59%
2/3/2023,0.0812,0.0807,0.0825,0.0796,12.31M,-0.49%
2/2/2023,0.0816,0.0806,0.082,0.0799,20.94M,0.74%
2/1/2023,0.081,0.0817,0.0825,0.0798,58.24M,-1.34%
1/31/2023,0.0821,0.0818,0.083,0.0811,28.94M,1.48%
1/30/2023,0.0809,0.0791,0.0818,0.0791,30.09M,1.25%
1/27/2023,0.0799,0.0791,0.0805,0.079,4.86M,0.50%
1/26/2023,0.0795,0.0791,0.0798,0.079,5.61M,1.02%
1/25/2023,0.0787,0.077,0.0799,0.0755,21.86M,1.03%
